Kategorie,Frage,Antwort
CC-BY 2.0 (France) Attribution: tatoeba.org #2111551 (CK) & #1519500 (Espi),Setz dich dorthin.,Sit there.
CC-BY 2.0 (France) Attribution: tatoeba.org #40196 (CM) & #1012489 (Manfredo),Harre aus!,Sit tight.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111523 (CK) & #4941757 (Hans_Adler),Beginnen Sie jetzt.,Start now.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111523 (CK) & #4941759 (Hans_Adler),Fang jetzt an.,Start now.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111516 (CK) & #4942780 (Hans_Adler),Bleiben Sie weg.,Stay away.
CC-BY 2.0 (France) Attribution: tatoeba.org #1850251 (CK) & #4659728 (AC),Bleibt zurück!,Stay back.
CC-BY 2.0 (France) Attribution: tatoeba.org #788304 (hrin) & #788437 (BraveSentry),Bleib ruhig.,Stay calm.
CC-BY 2.0 (France) Attribution: tatoeba.org #788304 (hrin) & #1076801 (MUIRIEL),Bleiben Sie ruhig.,Stay calm.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111514 (CK) & #788437 (BraveSentry),Bleib ruhig.,Stay cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111514 (CK) & #1076800 (MUIRIEL),Bleibt ruhig.,Stay cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111514 (CK) & #1076801 (MUIRIEL),Bleiben Sie ruhig.,Stay cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111514 (CK) & #2398607 (Zaghawa),Bleib cool.,Stay cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111514 (CK) & #2398612 (Zaghawa),Bleibt cool.,Stay cool.
CC-BY 2.0 (France) Attribution: tatoeba.org #1777435 (Spamster) & #4659720 (AC),Bleib unten!,Stay down!
CC-BY 2.0 (France) Attribution: tatoeba.org #1841182 (CK) & #4659720 (AC),Bleib unten!,Stay down.
CC-BY 2.0 (France) Attribution: tatoeba.org #8624434 (Adelpa) & #1812451 (pne),Bleib zu Hause.,Stay home.
CC-BY 2.0 (France) Attribution: tatoeba.org #275014 (CM) & #4825509 (rumpelstilzchen),Bleiben Sie dünn.,Stay thin.
CC-BY 2.0 (France) Attribution: tatoeba.org #275014 (CM) & #4825510 (rumpelstilzchen),Bleib dünn.,Stay thin.
CC-BY 2.0 (France) Attribution: tatoeba.org #1553393 (CK) & #1688328 (Pfirsichbaeumchen),Tritt zurück!,Step back.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111500 (CK) & #6644773 (Felixjp),Hör hier auf.,Stop here.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111500 (CK) & #6644867 (Felixjp),Halte hier.,Stop here.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111500 (CK) & #6644868 (Felixjp),Halte hier an.,Stop here.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111500 (CK) & #6645723 (Felixjp),Bleib hier stehen.,Stop here.
CC-BY 2.0 (France) Attribution: tatoeba.org #651592 (orbpic) & #440925 (Espi),Lass das!,Stop that!
CC-BY 2.0 (France) Attribution: tatoeba.org #651592 (orbpic) & #579371 (kroko),Hör auf damit!,Stop that!
CC-BY 2.0 (France) Attribution: tatoeba.org #651592 (orbpic) & #1238664 (al_ex_an_der),Hör mal auf!,Stop that!
CC-BY 2.0 (France) Attribution: tatoeba.org #651592 (orbpic) & #1238665 (al_ex_an_der),Hör mal auf damit!,Stop that!
CC-BY 2.0 (France) Attribution: tatoeba.org #2111491 (CK) & #5480547 (RandomUsername),Stopp sie.,Stop them.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111491 (CK) & #5480548 (RandomUsername),Stoppen Sie sie.,Stop them.
CC-BY 2.0 (France) Attribution: tatoeba.org #324861 (CK) & #1239683 (Esperantostern),Pass auf dich auf!,Take care!
CC-BY 2.0 (France) Attribution: tatoeba.org #20362 (sacredceltic) & #2024754 (Vortarulo),Mach's gut.,Take care.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942662 (Hans_Adler),Nimm meins.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942663 (Hans_Adler),Nimm meine.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942664 (Hans_Adler),Nimm meinen.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942666 (Hans_Adler),Nehmt meins.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942667 (Hans_Adler),Nehmt meine.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942668 (Hans_Adler),Nehmt meinen.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942669 (Hans_Adler),Nehmen Sie meins.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942670 (Hans_Adler),Nehmen Sie meinen.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111483 (CK) & #4942671 (Hans_Adler),Nehmen Sie meine.,Take mine.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111482 (CK) & #4942658 (Hans_Adler),Übernimm du.,Take over.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111482 (CK) & #4942659 (Hans_Adler),Übernehmt ihr.,Take over.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111482 (CK) & #4942660 (Hans_Adler),Übernehmen Sie.,Take over.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111479 (CK) & #6643157 (Felixjp),Nimm das.,Take this.
CC-BY 2.0 (France) Attribution: tatoeba.org #1876041 (Asma) & #397489 (MUIRIEL),Danke!,Thank you.
CC-BY 2.0 (France) Attribution: tatoeba.org #7122959 (CM) & #8861581 (mramosch),Das tat weh.,That hurt.
CC-BY 2.0 (France) Attribution: tatoeba.org #7122959 (CM) & #8861582 (mramosch),Das hat wehgetan.,That hurt.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111418 (CK) & #1909393 (Pfirsichbaeumchen),Das ist in Ordnung.,That's OK.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111418 (CK) & #6626295 (Felixjp),Das ist o.k.,That's OK.
CC-BY 2.0 (France) Attribution: tatoeba.org #270709 (mamat) & #2318384 (al_ex_an_der),Das war's.,That's it.
CC-BY 2.0 (France) Attribution: tatoeba.org #1250350 (CK) & #3811992 (Trebalor),Das bin ich!,That's me.
CC-BY 2.0 (France) Attribution: tatoeba.org #1250350 (CK) & #4380940 (raggione),Ich bin jetzt fertig.,That's me.
CC-BY 2.0 (France) Attribution: tatoeba.org #53035 (CM) & #142 (MUIRIEL),Na und?,Then what?
CC-BY 2.0 (France) Attribution: tatoeba.org #2111371 (CK) & #4941728 (Hans_Adler),Sie fielen.,They fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111371 (CK) & #4941730 (Hans_Adler),Sie stürzten.,They fell.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111367 (CK) & #2169441 (Vortarulo),Sie haben gelogen.,They lied.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111366 (CK) & #4941721 (Hans_Adler),Sie verloren.,They lost.
CC-BY 2.0 (France) Attribution: tatoeba.org #2111366 (CK) & #4941722 (Hans_Adler),Sie haben verloren.,They lost.
CC-BY 2.0 (France) Attribution: tatoeba.org #1963280 (CK) & #503688 (MUIRIEL),Sie schwammen.,They swam.
CC-BY 2.0 (France) Attribution: tatoeba.org #6611926 (Eccles17) & #2435909 (Pfirsichbaeumchen),Die Zeit ist um.,Time's up.
CC-BY 2.0 (France) Attribution: tatoeba.org #8416709 (CK) & #8861629 (mramosch),Thomas begann.,Tom began.
CC-BY 2.0 (France) Attribution: tatoeba.org #8416709 (CK) & #8861630 (mramosch),Thomas hat begonnen.,Tom began.
